cell,replicate,seed,regime,b,beta,n,population_gap,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,lower,upper,error,covered
local_b1_n200,0,2035141601,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.002751997503341874,0.6547387174703325,0.0056980426384751195,1.1426784362344369,0.9138772885553832,0.5876761306033217,0.5760025752494895,0.6332191904917117,0.5767193645803115,0.5767193645803115,200.0,200.0,0.005,1.6653345369377348e-15,12.052115373948231,10,-4.397524011601206e-16,-1.3530843112619095e-16,-5.417888360170764e-14,-0.020939717448843598,0.8088987315985948,1.3051802384224902,0.14406789957611701,3.552713678800501e-15,0.0014520830009132624,ok,0.001,ok,ok,8.881784197001252e-14,-0.008415960850442944,0.013919955857126692,0.002235760895576311,True
local_b1_n200,1,2035141602,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.0017514993345664198,0.6354943785579337,0.004191368309408015,0.7263055789002576,0.687604566271211,0.7167784944633755,0.7080920930972447,0.7090691091118666,0.7044768087560898,0.7044768087560898,200.0,200.0,0.005,3.3306690738754696e-16,11.063381126963451,10,5.724587470723463e-17,5.2258544713801314e-17,2.0872192862952943e-14,-0.012852922536844835,0.9000426453974995,1.2247250813834762,0.1739204850144293,8.881784197001252e-16,0.0016373749822378159,ok,0.001,ok,ok,8.881784197001252e-14,-0.006463431597815823,0.009966430266948663,0.0012352627268008565,True
local_b1_n200,2,2035141603,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.006359880941856799,0.5830214911943945,0.00778460654388437,2.625627781209066,2.508703669470497,0.3057398216298963,0.2943288673416645,0.2852606843828099,0.2802771936008048,0.2802771936008048,200.0,200.0,0.005,3.177536012088922e-11,9.229048203838156,9,-8.108097526715596e-15,-2.3418766925686896e-17,-9.769962616701378e-15,-0.04083770223317318,1.043380365084058,1.1037227269425385,0.22312780208721394,6.500799898390142e-11,0.0013927498366683722,ok,0.001,ok,ok,0.0,-0.00889766751797139,0.021617429401684988,0.005843644334091236,True
local_b1_n200,3,2035141604,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.00038854360323847814,0.6730701866597317,0.0019886828915182267,0.15386607576800868,0.1545325528014112,0.9237905948890948,0.9245218414662554,0.9256433438101543,0.9252338888251017,0.9252338888251017,200.0,200.0,0.005,2.99527069813621e-12,17.67115675174332,9,1.7453670887040973e-13,-4.2609145378680324e-17,-1.709743457922741e-14,0.0007756827636912905,0.95927298304385,1.0017815076804741,0.16036660053421156,7.181810701695213e-12,0.0013075009919703007,ok,0.001,ok,ok,0.0,-0.0035092032408082217,0.0042862904472851775,-0.0001276930045270852,True
local_b1_n200,4,2035141605,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.008444922974447211,0.657420681062693,0.009835746042755117,3.079064450281241,3.237241129301589,0.13294870099591866,0.15833605783217547,0.19817187591626448,0.1847069812170547,0.1847069812170547,200.0,200.0,0.005,3.617894872576244e-11,28.233354027464667,10,1.456816264844285e-11,-1.734723475976807e-16,-6.927791673660977e-14,0.1494523697488217,0.6571672170683283,1.0161191330820523,0.11608896376552795,9.686762503235968e-11,0.0014145409222692251,ok,0.001,ok,ok,8.881784197001252e-14,-0.010832785030435176,0.027722630979329598,0.007928686366681648,True
local_b1_n200,5,2035141606,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.008336386881945046,0.5445130710941408,0.010074508468556405,3.5070696812350404,2.58086210458765,0.2230363686324533,0.20678629337688847,0.2751521525570969,0.1887602898855501,0.1887602898855501,200.0,200.0,0.005,4.675149156696534e-12,6.543510322734815,9,-1.368974378301857e-13,2.0643209364124004e-16,8.260059303211165e-14,-0.086257464228511,0.837821195606651,1.4017804804153693,0.19826707773488572,8.980594046192891e-12,0.0014595000538975,ok,0.001,ok,ok,1.3322676295501878e-13,-0.011409286878369285,0.028082060642259377,0.007820150274179483,True
local_b1_n200,6,2035141607,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.014406478366921993,0.581011280629286,0.013040840128622423,5.706538189518168,4.939049629831772,0.05028465877663683,0.05171894800143555,0.08462506201608404,0.05606207761431087,0.05606207761431087,200.0,200.0,0.005,2.9005353674449452e-11,12.975812923697479,9,3.479924681748514e-13,3.9898639947466563e-17,1.865174681370263e-14,0.028026578625314436,0.7465632596382277,1.157883087694859,0.15493197605915457,5.886358067641595e-11,0.0014204999897629023,ok,0.001,ok,ok,1.3322676295501878e-13,-0.011153098613322643,0.03996605534716663,0.01389024175915643,True
local_b1_n200,7,2035141608,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.0012432394682040382,0.5411280804993894,0.003546353981853155,0.506402952299285,0.4843814147176579,0.7863160874253394,0.7828627059249744,0.7849064758367392,0.7798545167822298,0.7798545167822298,200.0,200.0,0.005,1.2224565804075382e-10,8.34913289219812,8,-1.2377225763401944e-11,-2.45029690981724e-17,-1.021405182655144e-14,-0.004553582508834864,0.9745348560700852,1.0973176491370054,0.23394661065024994,2.210100991106856e-10,0.0012908328790217638,ok,0.001,ok,ok,4.440892098500626e-14,-0.005707486612658358,0.008193965549066436,0.0007270028604384748,True
local_b1_n200,8,2035141609,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.005119661372979811,0.5457523499893755,0.0065352411712012014,2.0400801401867907,2.434179584492018,0.3609092727218518,0.36229922566032613,0.29609059945645,0.35917976610047414,0.35917976610047414,200.0,200.0,0.005,4.991007607202391e-12,10.343407014424537,9,-5.811323644522304e-17,-8.239936510889834e-17,-3.197442310920451e-14,0.003892204502566887,0.8366159187361474,1.187770244032124,0.19944675358134048,9.597211914069703e-12,0.0013998330105096102,ok,0.001,ok,ok,4.440892098500626e-14,-0.007689175952857905,0.017928498698817526,0.004603424765214248,True
local_b1_n200,9,2035141610,local,1,0.07071067811865475,200,0.0005162366077655633,True,ok,0.010090300160864762,0.5579493767451924,0.011171437542686685,4.275631299376873,2.9080701015631143,0.1797077701585728,0.16276228486829614,0.23362569209753148,0.13291306219873203,0.13291306219873203,200.0,200.0,0.005,9.321099447845427e-12,6.5895817641080665,9,-1.0323582266824616e-12,1.8735013540549517e-16,7.37188088351104e-14,-0.11975561751548414,0.8904007035085575,1.4703805086690216,0.20696328845491804,1.825983808600995e-11,0.0013687501195818186,ok,0.001,ok,ok,4.440892098500626e-14,-0.011805315078339783,0.03198591540006931,0.009574063553099199,True
