law,resultant,kappa,raw_anisotropy,residual_anisotropy,I1,I2,residual_eigenvalues,moment_error,descriptive_only,quadrature,I2_refinement
uniform,2.634263290282643e-15,0.0,1.2490996144233813e-14,5.613802443627329e-17,0.0,0.0,"[-5.592391287763128e-17, -1.2048657293950528e-19, 5.332482193129604e-19]",2.6558616417204917e-15,True,96x192,0.0
vmf8,0.8750002250703754,7.999999999990849,0.5485835713973553,2.414999030740059e-13,1.772590635337954,0.0,"[-1.0685901730046834e-13, -1.0680340396442657e-13, 1.8840484745467254e-13]",2.573496971081113e-13,True,96x192,0.0
antipodal8,4.302276082641395e-15,0.0,0.548583571397403,0.5485835713974063,0.0,1.065902186839828,"[-0.22395830519954393, -0.22395830519954377, 0.44791661039911124]",1.1345091532888318e-15,True,96x192,1.687538997430238e-14
girdle12,1.0441195796854821e-15,0.0,0.3572184797501054,0.357218479750102,0.0,0.8632485342086711,"[-0.2916676673601659, 0.14583383368007174, 0.14583383368007183]",1.3132273046778664e-12,True,96x192,5.595524044110789e-14
