cell,replicate,seed,regime,b,beta,n,population_gap,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,lower,upper,error,covered
local_b3_n200,0,2035161601,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.0027997278908862278,0.7579567786002186,0.005805851968963812,1.149622248167725,0.9403995329519691,0.5866130050100007,0.5785429730403284,0.6248774262521251,0.5712401509331435,0.5712401509331435,200.0,200.0,0.005,5.10702591327572e-15,21.582898718916493,10,-9.831545300098554e-16,-1.0061396160665481e-16,-4.0190073491430667e-14,-0.014865545906616928,0.690084887770678,1.5295645240552693,0.09584662355131898,1.2878587085651816e-14,0.0015972910914570093,ok,0.001,ok,ok,8.881784197001252e-14,-0.008579532867853804,0.014178988649626259,-0.001587000219147372,True
local_b3_n200,1,2035161602,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.002611226860798732,0.6696360099411398,0.0057080189053227365,1.0888655737169657,0.7905795939770522,0.6140470426631113,0.6015926775406598,0.6734848370881283,0.5931871256582788,0.5931871256582788,200.0,200.0,0.005,2.9976021664879227e-15,12.577173795166708,10,-3.8163916471489756e-16,-5.204170427930421e-18,-2.4424906541753444e-15,-0.02218741469873642,0.7896766879098571,1.4215759498820622,0.13780122667921124,6.217248937900877e-15,0.001431457931175828,ok,0.001,ok,ok,8.881784197001252e-14,-0.008576284616707576,0.01379873833830504,-0.0017755012492348676,True
local_b3_n200,2,2035161603,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.004613910865322479,0.5134062314224654,0.007183837872204452,1.91167456633144,1.5611150434863792,0.4282524802226074,0.4154817031849105,0.45815051121675754,0.3974118330790589,0.3974118330790589,200.0,200.0,0.005,8.705258736085852e-13,6.441321459675591,9,-5.984795992119984e-16,-1.249000902703301e-16,-5.062616992290714e-14,-0.033055110101224194,0.9574769969667863,1.2284821001830202,0.24200909630792358,1.5973888878306752e-12,0.0013049158733338118,ok,0.001,ok,ok,0.0,-0.009466152634973102,0.01869397436561806,0.00022718275528887943,True
local_b3_n200,3,2035161604,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.009107933368135868,0.6880807037939685,0.009330866986951535,3.8750662353520893,3.3936749564777697,0.20962252049592578,0.18981535992098847,0.18326217919540203,0.16176887279272856,0.16176887279272856,200.0,200.0,0.005,3.1743829786989863e-11,12.621248776675673,10,-9.274758044908182e-12,1.717376241217039e-16,7.105427357601002e-14,-0.11594644404887111,1.0863137388488695,1.2465976616010368,0.19066570984232553,6.61646293309559e-11,0.0016530409920960665,ok,0.001,ok,ok,0.0,-0.009180229870822912,0.027396096607094647,0.004721205258102268,True
local_b3_n200,4,2035161605,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.008741873745666151,0.7272665131562661,0.010719188844759179,3.8936737846760665,2.2639563901466007,0.2589274191749035,0.22338840228971457,0.3223948652651894,0.17405659933380146,0.17405659933380146,200.0,200.0,0.005,7.771561172376096e-16,11.45615605977621,11,3.5214886562329184e-16,9.71445146547012e-17,3.863576125695545e-14,-0.19846214320480304,0.905763415269302,1.7222623474524095,0.14667959049649246,1.9984014443252818e-15,0.0016132078599184752,ok,0.001,ok,ok,1.3322676295501878e-13,-0.012267350333545347,0.02975109782487765,0.004355145635632551,True
local_b3_n200,5,2035161606,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.000609795010832137,0.7428395856855279,0.0026028035182588585,0.24438439225630174,0.23026691499798776,0.8790452242431686,0.8788292118700038,0.8912471923482431,0.8851846584120248,0.8851846584120248,200.0,200.0,0.005,1.982836117520037e-11,22.69565763381204,9,-2.9538209985607855e-13,-1.6111244283134596e-16,-6.439293542825908e-14,-0.0002331939617234574,0.6966078307260861,1.2770611114714463,0.09630583993736154,5.081601806011804e-11,0.001337291207164526,ok,0.001,ok,ok,4.440892098500626e-14,-0.004491606143789366,0.00571119616545364,-0.0037769330992014627,True
local_b3_n200,6,2035161607,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.00685908800035806,0.6817864443365045,0.009200936796718316,2.9761279836188335,1.9522687638735574,0.33089571550131325,0.30181482310135127,0.376764715968623,0.25364551421349946,0.25364551421349946,200.0,200.0,0.005,2.0277779455568634e-11,10.399474586622736,10,-6.586805753605596e-12,-6.678685382510707e-17,-2.6645352591003757e-14,-0.11624639173780471,0.9499341253542777,1.5644100782667876,0.17024088445543684,4.125588759507082e-11,0.0015145842917263508,ok,0.001,ok,ok,4.440892098500626e-14,-0.011174416745239172,0.024892592745955292,0.0024723598903244604,True
local_b3_n200,7,2035161608,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.018329096784138743,0.6064496791578469,0.013897844190968218,7.989900665843549,6.212595493803503,0.05486981052265044,0.04284160178468048,0.04476638540840102,0.025583200923429642,0.025583200923429642,200.0,200.0,0.005,9.50279854805558e-11,7.064628793483418,10,-3.3306690738754696e-16,-2.463307335887066e-16,-9.592326932761353e-14,-0.32913097609402575,0.9160319769520622,1.568696157151872,0.19243504432866096,2.0047741244866302e-10,0.0014528750907629728,ok,0.001,ok,ok,1.3322676295501878e-13,-0.008910177292908168,0.045568370861185654,0.013942368674105143,True
local_b3_n200,8,2035161609,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.029873759496646723,0.5925582201513082,0.016938225527002748,13.23328812365345,10.636241108720403,0.010000373872690167,0.006258084866408909,0.004901958036687117,0.0025421327133672623,0.0025421327133672623,200.0,200.0,0.005,5.013189863234402e-11,6.123653208446534,10,-2.248201624865942e-15,-3.2959746043559335e-16,-1.3500311979441904e-13,-0.6418921624973803,0.9771338056971041,1.5370330265929892,0.20447373579310843,1.0352052548512347e-10,0.0014523339923471212,ok,0.001,ok,ok,4.440892098500626e-14,-0.0033245524982956423,0.06307207149158908,0.025487031386613124,True
local_b3_n200,9,2035161610,local,3,0.21213203435596426,200,0.0043867281100336,True,ok,0.0025635527038136985,0.6116041020824292,0.0054947485859690795,1.0639950696389175,0.8320206976573554,0.6217856048463417,0.6108127468501877,0.659673443601613,0.5988701150061969,0.5988701150061969,200.0,200.0,0.005,1.1999301552378938e-10,9.861293664819588,9,1.3877787807814457e-17,2.1163626406917047e-16,8.526512829121202e-14,-0.019286994056719076,0.9001070376016098,1.2838230071074384,0.18733303343321098,2.5494029110006977e-10,0.0013320418074727058,ok,0.001,ok,ok,1.7763568394002505e-13,-0.008205956628788086,0.013333062036415483,-0.0018231754062199013,True
