law,weights,replicate,ess,max_weight,D4,moment_error,success,condition,I1,I2,I3,I4
unimodal,equal,0,400.00000000000006,0.0025,1.0061449329079215,9.993283978104728e-11,True,722.2558923410065,1.0025722567778694,0.00016716982291109517,0.001744658674383892,0.0016608476327570898
unimodal,pareto,0,55.633376966587974,0.09316524722406437,0.8807887889302135,4.776179451937423e-13,True,3766.9670538466967,0.8040498011817245,0.05641520954581836,0.00608971268378955,0.014234065518881067
unimodal,equal,1,400.00000000000006,0.0025,1.112915206184283,1.6441958905488718e-11,True,8829.596220369818,1.101661822513956,0.0013795072704585465,0.0034223446746186603,0.006451531725249815
unimodal,pareto,1,14.935805259719643,0.18259430553140377,1.3590843560648214,1.0840217612440028e-12,True,2959.03005102172,1.333627690598349,0.017508600118466333,0.007737922761735128,0.00021014258627083393
unimodal,equal,2,400.00000000000006,0.0025,0.9988545927020205,1.7126633444775052e-10,True,34350.31228707047,0.9948132370403981,0.002673807066274403,0.000412085184219535,0.0009554634111283988
unimodal,pareto,2,8.982089027158263,0.2974756871492073,1.3234151817356556,2.605593518723026e-11,True,29533.98825495706,1.2407975754391005,0.014307200283266042,0.04916377741672573,0.019146628596563353
unimodal,equal,3,400.00000000000006,0.0025,1.16760178375283,1.0721201704200212e-10,True,1251.9544127216889,1.146918419369726,0.007328940299198283,0.010685543961166388,0.00266888012273947
unimodal,pareto,3,121.1775277698737,0.04326410459741046,1.2843775120970875,8.622924596579651e-11,True,1529.0917897403517,1.2691654639882461,0.004855932113413175,0.00889157182796918,0.0014645441674590032
unimodal,equal,4,400.00000000000006,0.0025,1.0246450592492122,1.57853730087254e-11,True,14829.386051961186,1.0187963325441154,0.0020241425490077347,0.0028231054642993136,0.0010014786917897922
unimodal,pareto,4,69.6322323894405,0.07523578140969236,0.8438997418731091,7.003286839335487e-13,True,53298.92659746302,0.7583423284695221,0.028616876195465046,0.03588335419427624,0.021057183013845737
unimodal,equal,5,400.00000000000006,0.0025,1.0427805046271796,1.8616286290296102e-10,True,29966.61293084418,1.0405379488477293,0.0005036150514259319,0.0014058804755694432,0.000333060252454942
unimodal,pareto,5,31.23827364231761,0.16628770387734707,1.2495949164744022,1.050048936690473e-11,True,108939.07472263931,1.2204697267703857,0.0060941907740641454,0.013007039319148817,0.010023959610803601
unimodal,equal,6,400.00000000000006,0.0025,1.02794886636444,1.5277623610643332e-10,True,39771.04007541976,1.017647442255642,0.0026311420727815893,0.005393634313783036,0.002276647722233349
unimodal,pareto,6,99.4611435292778,0.060124011303709694,1.0366966424700736,3.1321611970724916e-12,True,54036.03768861668,1.0033582754686345,0.024705547417691598,0.005343417305697873,0.0032894022780496357
unimodal,equal,7,400.00000000000006,0.0025,1.0378094855888822,9.534262268573457e-12,True,9031.218412983017,1.0320109227353162,0.001114264744028759,0.002131713083790121,0.0025525850257470672
unimodal,pareto,7,28.32925574053101,0.13237047577793057,1.0113288651002756,1.95039540074049e-11,True,1233.5609746037894,0.9974798834345244,0.000935133465194582,0.011595852069220758,0.0013179961313358746
