cell,replicate,seed,regime,b,beta,n,population_gap,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,lower,upper,error,covered
local_b0_n200,0,2035131601,local,0,0.0,200,0.0,True,ok,0.006084456631171742,0.611445975929227,0.007705968428754924,2.451121979226988,2.572833222757181,0.30030077390103926,0.2978123540158575,0.276258954725782,0.2961493692085207,0.2961493692085207,200.0,200.0,0.005,1.1913747766101324e-10,12.52916637219767,9,-6.435824095873954e-16,1.960237527853792e-16,7.904787935331115e-14,-0.008669663379145653,0.7177983267092126,1.3428190489006155,0.14620623522661655,2.530751164186995e-10,0.0013639999087899923,ok,0.001,ok,ok,4.440892098500626e-14,-0.009018963955190617,0.021187877217534103,0.006084456631171742,True
local_b0_n200,1,2035131602,local,0,0.0,200,0.0,True,ok,0.003726728051736128,0.5710127667945959,0.006351980859992409,1.5092686876266599,1.3704740510093547,0.47723986691402476,0.47286786598389086,0.5039707614928083,0.4745702552030826,0.4745702552030826,200.0,200.0,0.005,1.7840950938818878e-11,10.024435198727284,9,-2.3418766925686896e-17,-7.24247051220317e-17,-2.886579864025407e-14,-0.00928873346610437,0.9146910486822223,1.1062016429977002,0.19481813611139615,3.569344819709386e-11,0.00135525013320148,ok,0.001,ok,ok,2.6645352591003757e-13,-0.008722925664336753,0.016176381767809007,0.003726728051736128,True
local_b0_n200,2,2035131603,local,0,0.0,200,0.0,True,ok,0.01719545509811815,0.6012767451655867,0.012598712466678381,6.8128531935463705,6.881659042504829,0.029138979260892685,0.030123273473611184,0.032038098018822854,0.032093844748260984,0.032093844748260984,200.0,200.0,0.005,7.509115551584955e-11,14.277777779381381,9,2.0861472271871406e-12,1.0408340855860843e-17,3.552713678800501e-15,0.03266442285044491,0.8597535277838833,1.0762599189270474,0.1747318640654734,1.5709500367222518e-10,0.001339209033176303,ok,0.001,ok,ok,4.440892098500626e-14,-0.007497567588147264,0.041888477784383565,0.01719545509811815,True
local_b0_n200,3,2035131604,local,0,0.0,200,0.0,True,ok,0.008411421338862635,0.5981189722333708,0.007869153741084366,3.0863112015130802,4.75301313669374,0.1314340308785163,0.15446580866909498,0.09287446203216136,0.18594873384073557,0.18594873384073557,200.0,200.0,0.005,6.452360867825746e-11,21.717611087264707,9,4.4021210288125445e-12,4.5102810375396984e-17,1.865174681370263e-14,0.1391286670159868,0.59202730264409,1.0635591111556213,0.11873861415893908,1.3518941521795114e-10,0.0013417082373052835,ok,0.001,ok,ok,1.3322676295501878e-13,-0.007011836582471353,0.023834679260196622,0.008411421338862635,True
local_b0_n200,4,2035131605,local,0,0.0,200,0.0,True,ok,0.004223054377089364,0.5939875307519575,0.006668367442193643,1.7589150420157629,1.5225139911670393,0.45880846030012423,0.4443075359470088,0.46707894168717956,0.4297245420638164,0.4297245420638164,200.0,200.0,0.005,5.357780885617558e-11,8.916828406416917,9,-1.7104373473131318e-15,1.691355389077387e-16,6.794564910705958e-14,-0.03484664559000872,1.0133525258907736,1.157686315173688,0.21636868664068198,1.1090484086651031e-10,0.0013439580798149109,ok,0.001,ok,ok,4.440892098500626e-14,-0.008846705645289658,0.017292814399468386,0.004223054377089364,True
local_b0_n200,5,2035131606,local,0,0.0,200,0.0,True,ok,0.005397069041203295,0.5788270252040426,0.0073490943085695246,2.116826789726782,2.200866529811722,0.321392146142897,0.32854485174909864,0.33272689357785223,0.3397946521010231,0.3397946521010231,200.0,200.0,0.005,2.6092683569345354e-11,13.202707154636887,9,5.221517662690189e-16,-2.7755575615628914e-17,-1.1546319456101628e-14,0.0210004133772681,0.8502379249254668,1.0564791492618248,0.17899109998693782,5.281797221812212e-11,0.0013418751768767834,ok,0.001,ok,ok,1.7763568394002505e-13,-0.009006891122581264,0.019801029204987854,0.005397069041203295,True
local_b0_n200,6,2035131607,local,0,0.0,200,0.0,True,ok,0.0007526949702199026,0.6503399353128545,0.0029570708824863683,0.2985906926665689,0.2627539712415387,0.8494606658832775,0.8506038848529633,0.8768871382302698,0.8602441849538067,0.8602441849538067,200.0,200.0,0.005,2.038358370981541e-11,15.893244390936523,9,1.1253853751669318e-12,1.8930169931596907e-16,7.571721027943568e-14,0.001243647710696072,0.7299839353876372,1.1611086748930288,0.12733609210810964,4.6987747026605575e-11,0.0013295828830450773,ok,0.001,ok,ok,4.440892098500626e-14,-0.005043057459185454,0.006548447399625259,0.0007526949702199026,True
local_b0_n200,7,2035131608,local,0,0.0,200,0.0,True,ok,0.015847633317329635,0.6204705804704591,0.012209948519347837,5.7317587079176295,6.927319428269621,0.02254322143911283,0.03231598666527717,0.031314948294905165,0.04202348444703829,0.04202348444703829,200.0,200.0,0.005,1.7728474244194103e-10,26.948383451939172,10,-7.632783294297951e-17,3.469446951953614e-17,1.5987211554602254e-14,0.30364730950711216,0.7470510577049679,0.9167183948329729,0.14081277287896232,3.831193140513278e-10,0.0014502489939332008,ok,0.001,ok,ok,1.7763568394002505e-13,-0.008083426033680285,0.039778692668339555,0.015847633317329635,True
local_b0_n200,8,2035131609,local,0,0.0,200,0.0,True,ok,0.0015217187037959157,0.5248385798642876,0.003718460216741618,0.617927883584885,0.6638843354143324,0.7442593943952374,0.7409345353352452,0.7175288179912711,0.7376072771831665,0.7376072771831665,200.0,200.0,0.005,1.4615841870124768e-10,8.027950502811667,8,-1.4068248302412378e-11,-1.7759231585312563e-16,-7.105427357601002e-14,-0.004620201033259386,0.8948533281374021,1.1830530624388742,0.21991340886008742,2.5577562290379774e-10,0.0012277080677449703,ok,0.001,ok,ok,1.3322676295501878e-13,-0.005766329398962659,0.00880976680655449,0.0015217187037959157,True
local_b0_n200,9,2035131610,local,0,0.0,200,0.0,True,ok,0.007014550529585328,0.6541850113040961,0.008186715680661389,2.8880511317259097,2.75099837660768,0.27337683062722684,0.2632673849818383,0.2527134127329501,0.24588038382543706,0.24588038382543706,200.0,200.0,0.005,3.6193270602780103e-13,13.114253723501289,10,-6.170064459354307e-14,1.0668549377257364e-16,4.218847493575595e-14,-0.041115459945889166,0.9128667561058025,1.2603336978178246,0.17311511962797496,7.607248164731573e-13,0.0014493339695036411,ok,0.001,ok,ok,4.440892098500626e-14,-0.00903111735618031,0.023060218415350966,0.007014550529585328,True
