cell,replicate,seed,regime,b,beta,n,population_gap,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,lower,upper,error,covered
local_b4_n800,0,2035221601,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0007963297289435012,0.606673441269804,0.001443380920810648,1.2774621813314053,1.213607422080666,0.5298420247292579,0.528962298967312,0.5450903539257416,0.5288429441585436,0.5288429441585434,800.0000000000005,800.0000000000005,0.00125,9.60352908307982e-11,12.276624796048555,8,-2.5136988844598473e-13,-2.3483819056036026e-16,-3.7547742692822794e-13,-0.0016673075109013835,0.9547345356027385,1.0528450835383245,0.18659970107026413,2.0259061095373454e-10,0.0012337500229477882,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0020326448918176285,0.003625304349704631,-0.0012112641456130113,True
local_b4_n800,1,2035221602,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.001003317614380661,0.5901047005554632,0.0015884806853649458,1.6261478471933128,1.5711777871098769,0.4546818664678264,0.4500543763904088,0.4558511749076116,0.4481379851135716,0.4481379851135716,800.0000000000005,800.0000000000005,0.00125,5.246625356392087e-11,10.638172166077165,8,-4.220620814648912e-12,6.635317295611287e-17,1.0658141036401503e-13,-0.010419832092127157,0.9862771335688292,1.0511350136219701,0.20040065075761188,1.033291230356781e-10,0.001233540941029787,ok,0.001,ok,ok,7.105427357601002e-13,-0.002110047319072134,0.004116682547833456,-0.0010042762601758515,True
local_b4_n800,2,2035221603,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,2.1945041585036407e-05,0.6803849643124418,0.00021945276656805662,0.03495511552014617,0.040577806000618624,0.9818358862643222,0.9819163334451175,0.9799155318713122,0.9825971759915738,0.9825971759915738,800.0000000000005,800.0000000000005,0.00125,2.7755575615628914e-16,17.5453497615623,9,2.478079590487181e-17,3.552117367605634e-17,5.684341886080802e-14,7.847550795605021e-05,0.827576805535827,1.108108196530424,0.1328584734241321,2.220446049250313e-16,0.0013278340920805931,ok,0.001,ok,ok,8.881784197001252e-13,-0.0004081744771960302,0.00045206456036610303,-0.001985648832971476,False
local_b4_n800,3,2035221604,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0011611283003361006,0.6029612491332457,0.0016792219821915048,1.9007030360309072,1.873283356693039,0.40673326777635976,0.3983806842916723,0.39194189455815803,0.3949869153725164,0.3949869153725161,800.0000000000005,800.0000000000005,0.00125,8.111789018272475e-11,10.461579250448462,9,-3.5128150388530344e-17,-4.336808689942018e-19,-6.661338147750939e-16,-0.02144887774657256,0.9628563081024888,1.1049837232055948,0.18984093086202633,1.7013035424895406e-10,0.0013373340480029583,ok,0.001,ok,ok,0.0,-0.0021300863068072088,0.00445234290747941,-0.0008464655742204119,True
local_b4_n800,4,2035221605,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0024109907237352957,0.5955009625597238,0.0024907286233956205,3.9992624956269984,3.5821346577082704,0.16701335258062638,0.15639489279561025,0.1667820633263901,0.14532355931416382,0.14532355931416366,800.0000000000005,800.0000000000005,0.00125,5.7512883344656984e-11,9.209473171562061,9,2.0339632755828063e-16,2.489328188026718e-16,3.9968028886505635e-13,-0.07083866882526157,1.0387909151441175,1.1168162386231522,0.2231974858717969,1.1927170362469042e-10,0.0013405829668045044,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0024707476733831484,0.00729272912085374,0.00040339684917878316,True
local_b4_n800,5,2035221606,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0018366082736347433,0.5953515649343719,0.0020350257091071586,3.0300239691745072,3.174955044668272,0.24165688302981064,0.23123494725124555,0.20444065885964696,0.23008956820037327,0.23008956820037307,800.0000000000005,800.0000000000005,0.00125,5.7111315676650065e-11,9.572583797156751,9,1.1687699419393738e-16,1.5569143196891844e-16,2.4780177909633494e-13,-0.04572536567945806,0.9486682408956766,1.122515389272382,0.19034665564692138,1.18419940520198e-10,0.0013317919801920652,ok,0.001,ok,ok,1.0658141036401503e-12,-0.0021519688238283725,0.005825185371097859,-0.00017098560092176918,True
local_b4_n800,6,2035221607,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.000503601044009816,0.6433742554087849,0.0011334825028130704,0.820677883642423,0.7757527083378718,0.6764174617157492,0.6715410710075556,0.6784962313081877,0.6683917433412527,0.6683917433412527,800.0000000000005,800.0000000000005,0.00125,1.8596235662471372e-11,12.875654469326618,9,-1.5491794045502383e-12,-1.0625181290357943e-16,-1.680877659282487e-13,-0.007458106613358495,0.9787875600933166,1.0844528460708434,0.1917661960531491,3.9899639148188726e-11,0.0013316250406205654,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0017179838386101225,0.0027251859266297545,-0.0015039928305466965,True
local_b4_n800,7,2035221608,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.005693264428239919,0.6832319429029796,0.0039711539847834725,9.769984488754515,7.537976889106367,0.02106722688163587,0.016016294165868042,0.02307539352532946,0.010518585461037618,0.010518585461037587,800.0000000000005,800.0000000000005,0.00125,3.5065284009760944e-12,11.312606973929684,10,-1.012427988666964e-12,-6.071532165918825e-18,-1.2434497875801753e-14,-0.33038070178531953,0.9975619479369464,1.3389744960647472,0.17917227111058878,7.281286684701627e-12,0.0014437080826610327,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0020900543589984083,0.013476583215478247,0.0036856705536834067,True
local_b4_n800,8,2035221609,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0006070356398428789,0.6589911873358303,0.0013249364267228806,0.9931526374344173,0.8135578057302041,0.6377944359816221,0.6313730487251075,0.6657913785957139,0.6153103453482327,0.6153103453482325,800.0000000000005,800.0000000000005,0.00125,5.668610025821863e-11,13.474093042778748,9,-5.458035499256164e-12,9.345822726825048e-17,1.4921397450962104e-13,-0.01094780684290525,0.946748251961335,1.226897603275057,0.17747689577348538,1.2361067724953045e-10,0.001328999875113368,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0019897920383391597,0.0032038633180249175,-0.0014005582347136336,True
local_b4_n800,9,2035221610,local,4,0.1414213562373095,800,0.0020075938745565125,True,ok,0.0034715909783935572,0.621393936305386,0.0031497894478288635,5.825148099656714,4.565891878631574,0.08370636918469918,0.07431056135952413,0.10198332705380259,0.06220793078924147,0.062207930789241354,800.0000000000005,800.0000000000005,0.00125,1.8526868927892792e-10,9.571221639391103,9,-2.762113454624071e-15,-2.5500435096859064e-16,-4.0234482412415673e-13,-0.13530126711350965,0.9475521143558847,1.2854386961831916,0.19390378384313234,3.995468400574964e-10,0.0013359161093831062,ok,0.001,ok,ok,1.7763568394002505e-13,-0.0027018828982353187,0.009645064855022433,0.0014639971038370447,True
