level,deficit,gap,moment_error
1,0.0,0.0,5.204170427930421e-17
2,0.0,0.0,4.163336342344337e-17
3,0.0,0.0,6.196215415754658e-17
4,0.16704341017966656,0.16704341017966656,4.363176486776865e-14
