law,weights,repeats,failures,ess_mean,ess_sd,ess_q05,ess_q95,max_weight_mean,max_weight_sd,max_weight_q05,max_weight_q95,I1_mean,I1_sd,I1_q05,I1_q95,I2_mean,I2_sd,I2_q05,I2_q95,I3_mean,I3_sd,I3_q05,I3_q95,I4_mean,I4_sd,I4_q05,I4_q95,D4_mean,D4_sd,D4_q05,D4_q95
unimodal,equal,100,0,400.00000000000006,0.0,400.00000000000006,400.00000000000006,0.0024999999999999996,4.358656730936491e-19,0.0025,0.0025,1.0314093597590057,0.04002427998536382,0.9735894666558081,1.1068037465555287,0.002664259317778397,0.0029003138431073876,0.0001127868724076997,0.00770299145436899,0.0026366395536139777,0.0021402506289687085,0.00036193996653426374,0.006180272171945611,0.0026384480505857954,0.002577637671235728,0.000244178638841297,0.008113529767269156,1.0393487066809841,0.04154256384204673,0.9793277917298939,1.1177921719737425
unimodal,pareto,100,0,100.32873219451402,53.786433244523984,14.638119448091576,183.17998474003562,0.08665565814668277,0.09487640359474604,0.025389461264743875,0.22900276119678115,1.051502024514259,0.11487901993133383,0.8788425181084466,1.267982186302334,0.011946347506479809,0.02430082193581802,0.00030099495623652216,0.029469315829972323,0.010434463866565498,0.01674968723499722,0.0005466861087402909,0.03896655551933215,0.011128635991564243,0.01766475741665197,0.0003552990771847231,0.030794290409548383,1.0850114718788684,0.13312475677337138,0.9251214169849458,1.3251986404521139
antipodal,equal,100,0,400.00000000000006,0.0,400.00000000000006,400.00000000000006,0.0024999999999999996,4.358656730936491e-19,0.0025,0.0025,0.0021610289882353336,0.002620369146317189,6.132763708621693e-05,0.00769255971221382,0.6604036626839297,0.036599675287184684,0.6002363523241494,0.727275315605926,0.0015822088476078534,0.0014042713436542805,7.185476049111906e-05,0.003836449348690205,0.008821233373384392,0.005203937761607284,0.0015506831010183464,0.018372088629149318,0.6729681338931575,0.03591551403790216,0.6092198433416209,0.7311371100679525
antipodal,pareto,100,0,100.71640791979648,49.8430797846753,28.654662596078275,168.63942667759423,0.07897644870396664,0.06981347915401255,0.026770131195220828,0.17418054463091948,0.017611703117535994,0.033035862530480256,0.000622394204548873,0.05827110683140046,0.6881082157638488,0.087304731269575,0.5502259912853311,0.8523391557195998,0.008784120641975481,0.009945154949893769,0.00040743866385503094,0.02215329685449577,0.01627853389228478,0.01646656539729808,0.0010884456429900546,0.043338081924313446,0.7307825734156449,0.10917864644031296,0.5952283377459061,0.9061463758878282
trimodal,equal,100,0,400.00000000000006,0.0,400.00000000000006,400.00000000000006,0.0024999999999999996,4.358656730936491e-19,0.0025,0.0025,0.002669926163507784,0.0021874732776145135,0.00022980992394907977,0.006478109560917692,0.0024839575239588626,0.002414383883207791,0.0001744476124658202,0.006977556842863358,0.18733964938453543,0.02626600052054652,0.14998424960118387,0.2289504235315281,0.0022310379629572803,0.002448036054328392,0.00014162230099853956,0.00748156386640282,0.19472457103495933,0.026246481081680914,0.1563459104684884,0.24086588208593196
trimodal,pareto,100,0,92.6827517405258,52.29425096967954,8.199765148421854,177.7179584462933,0.10651565497187515,0.1342266888546909,0.025874199268709364,0.34443859291233947,0.04309392339603697,0.15741631457861752,0.0009513308883712151,0.1595231937522691,0.029260350366872415,0.06925566391262516,0.0010346297126133754,0.10547653477301278,0.20293468654805585,0.07188020921131359,0.11045009265996708,0.2859207470504528,0.01902214042805925,0.0394578741054293,0.0007720486803571154,0.05847560495390405,0.2943111007390245,0.31293444245202356,0.15146974460365492,0.5589715379242314
