cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation
circle_uniform_direct_n200,0,2026091601,True,ok,0.000521803973251498,0.005894726952150556,0.0022048498026453127,0.20870654633159522,0.22455879493852696,0.9005634355745278,0.9005702322477771,0.8937944986900166,0.9009001988056278,0.9009001988056278,200.0,200.0,0.005,2.7755575615628914e-16,1.1881411194801577,6,9.974659986866641e-18,-6.505213034913027e-19,-4.440892098500626e-16,7.5214845019905274e-06,0.9179612844970841,1.0812272434740813,0.4562744650916373,4.336808689942018e-17,0.0015165000222623348,ok,0.001,ok,ok,4.85722573273506e-15,0.0,4.5102810375396984e-15
circle_uniform_direct_n200,1,2026091602,True,ok,0.0006494448628073168,0.0024150303674751886,0.002556452858956115,0.259742273683566,0.25833112910615635,0.878086961943731,0.878102637581573,0.8788284506601961,0.878192929019429,0.878192929019429,200.0,200.0,0.005,5.759281940243e-16,1.1317186746574444,6,-4.119968255444917e-18,-2.168404344971009e-18,-7.771561172376096e-16,1.783571968036468e-05,0.9726626961632,1.026150197089374,0.4851569600920155,5.898059818321144e-17,0.0018259580247104168,ok,0.001,ok,ok,6.938893903907228e-15,0.0,4.163336342344337e-15
circle_uniform_direct_n200,2,2026091603,True,ok,0.0015445988800828342,0.008635915181144638,0.003946422853407079,0.6176556314824408,0.6143199312204517,0.7337154056003645,0.7337830252796897,0.7355329315217446,0.7342396712948105,0.7342396712948105,200.0,200.0,0.005,4.579669976578771e-16,1.2504065280642307,6,-6.505213034913027e-19,0.0,5.551115123125783e-16,9.196027534641438e-05,0.9506572259273618,1.0466809995403765,0.4712222742262993,1.0408340855860843e-17,0.0011784988455474377,ok,0.001,ok,ok,1.1102230246251565e-14,0.0,4.85722573273506e-15
circle_uniform_direct_n200,3,2026091604,True,ok,0.016297219337922223,0.009371630932766554,0.013002783014306149,6.488289612488239,6.34122676917268,0.036346993188733086,0.0369160122810475,0.0419778414440359,0.038409752987616015,0.038409752987616015,200.0,200.0,0.005,5.867112351509718e-12,1.483506571392975,6,1.3279065347315822e-12,-1.734723475976807e-17,-4.440892098500626e-15,0.015299061340325437,0.9399645881430274,1.0255037790781838,0.4655791752562795,2.586417191530188e-12,0.001402042107656598,ok,0.001,ok,ok,8.951173136040325e-14,0.0,1.3877787807814457e-14
circle_uniform_direct_n200,4,2026091605,True,ok,0.005405286291317526,0.007183581505477708,0.006937657724317868,2.158572488552638,2.4384889355655517,0.3360596380879608,0.33665854042904453,0.2954533071108072,0.33923667520142686,0.33923667520142686,200.0,200.0,0.005,2.170486013142181e-14,1.3211114469922656,6,2.550910871423895e-15,-4.336808689942018e-18,-1.7763568394002505e-15,0.0017710139871862651,0.8850824825512734,1.1030966029100082,0.4393612630108067,6.945832797811136e-15,0.0012897488195449114,ok,0.001,ok,ok,2.914335439641036e-14,0.0,3.2959746043559335e-14
circle_uniform_direct_n200,5,2026091606,True,ok,0.015521283729636735,0.0002040408325506648,0.01229790439399221,6.184377173150467,6.420950363343459,0.04274142275811493,0.04326828846574372,0.04033744110456326,0.04485784694943734,0.04485784694943734,200.0,200.0,0.005,4.386595253702552e-14,1.288829884600252,5,5.8321403262340255e-15,-1.214306433183765e-17,-5.329070518200751e-15,0.012068159352113472,0.963032132791466,1.0060366103367682,0.4814178181978414,7.08461067588928e-15,0.001184249995276332,ok,0.001,ok,ok,1.8006429680639258e-13,0.0,2.0816681711721685e-14
circle_uniform_direct_n200,6,2026091607,True,ok,0.0005273192732388795,0.0008249367310415611,0.0022805313226171853,0.2109000491779806,0.2139507549800724,0.8998457911950326,0.8998582441451819,0.8985477972200174,0.8999069997144059,0.8999069997144059,200.0,200.0,0.005,9.019097274576282e-11,1.0884207116482005,4,-9.037768363556742e-14,-1.3010426069826053e-18,-5.273559366969494e-16,1.3830058785593846e-05,0.9836323198765855,1.0153164821638951,0.49141045589812826,3.4706916160476275e-13,0.0008357919286936522,ok,0.001,ok,ok,2.946427823946607e-13,0.0,2.168404344971009e-15
circle_uniform_direct_n200,7,2026091608,True,ok,0.0013991946106766927,0.009343063309641415,0.003932247630520566,0.5594085240042953,0.5070768423496963,0.7545064464437158,0.7546086444642114,0.7760499276023728,0.7559054912922836,0.7559054912922836,200.0,200.0,0.005,2.3592239273284576e-16,1.2778082993260358,6,-4.7704895589362195e-18,1.734723475976807e-18,2.220446049250313e-16,0.0001346601331909114,0.8913358348522326,1.1053966425730941,0.44150372163491597,5.551115123125783e-17,0.0012324987910687923,ok,0.001,ok,ok,2.8449465006019636e-14,0.0,3.0531133177191805e-14
circle_uniform_direct_n200,8,2026091609,True,ok,0.003955496687445781,0.0028847382915377596,0.006107679249698063,1.5805500758967579,1.6829540693342937,0.45145621298631344,0.4518301670509355,0.4310733427046539,0.453346140829631,0.453346140829631,200.0,200.0,0.005,8.534839501805891e-16,1.2129332405190316,6,5.0306980803327406e-17,3.469446951953614e-18,1.3322676295501878e-15,0.0008242995407772291,0.9326487311665637,1.059271016786819,0.4649791417169296,1.734723475976807e-16,0.0013117501512169838,ok,0.001,ok,ok,9.194034422677078e-15,0.0,1.4224732503009818e-14
circle_uniform_direct_n200,9,2026091610,True,ok,0.0007004080918363749,0.00862538317766218,0.0026078957718043937,0.28013219549978935,0.28918927260684013,0.8690921617394887,0.8691056712617378,0.8653730128248182,0.8692872826946169,0.8692872826946169,200.0,200.0,0.005,6.938893903907228e-16,1.2328948164604574,6,2.8189256484623115e-18,-1.0842021724855044e-18,-4.996003610813204e-16,1.5520617380304635e-05,0.9525057756644548,1.0463435211163272,0.47214642093141246,1.249000902703301e-16,0.0011498751118779182,ok,0.001,ok,ok,1.457167719820518e-14,0.0,1.6653345369377348e-14
