cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation
circle_vm2_direct_n200,0,2026191601,True,ok,8.790038585515525e-05,0.6409113631211267,0.0009124473184371449,0.03523676572877673,0.03706124437803812,0.9828907840436079,0.9828538269337579,0.9816400141654733,0.9825735508044063,0.9825735508044063,200.0,200.0,0.005,3.4416913763379853e-15,14.15588902646777,9,4.897883314203266e-17,1.2696007439805257e-16,5.084821452783217e-14,-3.83056933573149e-05,0.935196984563094,1.1096010794898468,0.18430545652494967,7.549516567451064e-15,0.00148258195258677,ok,0.001,ok,ok,1.3322676295501878e-13,0.0,0.0
circle_vm2_direct_n200,1,2026191602,True,ok,0.0016827853630769773,0.5952587444113124,0.0039439172930871924,0.6860472189392874,0.727351771044841,0.7145186127215344,0.7099201418001884,0.6951164555426406,0.714225119717349,0.714225119717349,200.0,200.0,0.005,5.686318083064634e-11,10.426327726293797,9,-1.3400738851920835e-16,-1.3704315460216776e-16,-5.484501741648273e-14,-0.00646653685424825,0.9413341960506832,1.0642463014268086,0.19338908363297813,1.1789236253889612e-10,0.0013944169040769339,ok,0.001,ok,ok,8.881784197001252e-14,0.0,4.440892098500626e-14
circle_vm2_direct_n200,2,2026191603,True,ok,0.006068571071272011,0.47647227455461927,0.00736419079443928,2.340691800754732,2.7805738156762168,0.2668535654994264,0.27967243029860456,0.24900385322496454,0.2970917651733262,0.2970917651733262,200.0,200.0,0.005,1.0103029524088925e-13,10.356201473682965,9,1.2750217548429532e-15,9.454242944073599e-17,3.730349362740526e-14,0.04336831387703621,0.7953332419853426,1.0480175124507844,0.20633371481862545,1.7408297026122455e-13,0.0013411252293735743,ok,0.001,ok,ok,2.220446049250313e-13,0.0,4.440892098500626e-14
circle_vm2_direct_n200,3,2026191604,True,ok,0.003787202896543551,0.5621003270342753,0.005474087190147358,1.4503150258839357,1.9356931185108799,0.4275204950193613,0.4431762323482865,0.3799002505567138,0.4688649152033223,0.4688649152033223,200.0,200.0,0.005,1.1482259587580756e-11,14.381540566178737,9,8.547849927875717e-16,1.1275702593849246e-17,4.6629367034256575e-15,0.032283066366742386,0.7352795643214346,1.0648786042496468,0.159719949370662,2.2640778141180817e-11,0.0013584168627858162,ok,0.001,ok,ok,4.440892098500626e-14,0.0,1.3322676295501878e-13
circle_vm2_direct_n200,4,2026191605,True,ok,0.0011521096857212143,0.5937305207417216,0.003587462454831348,0.46610846202230494,0.4111916606672619,0.7915417043644106,0.7894340757434322,0.814162069405884,0.79419842997993,0.79419842997993,200.0,200.0,0.005,7.509493027413328e-11,10.93385370033247,8,-5.7138070316820055e-12,-1.474514954580286e-16,-5.928590951498336e-14,-0.0026322938669096074,0.8339701670998578,1.1612204645310027,0.16857229063173862,1.4893264399518102e-10,0.0012228330597281456,ok,0.001,ok,ok,1.3322676295501878e-13,0.0,0.0
circle_vm2_direct_n200,5,2026191606,True,ok,0.008441127873432874,0.5710729829786612,0.008962659024543965,3.1389957808905042,3.794864176395247,0.14692871190667847,0.1680072205536851,0.14995319180811448,0.1848472307667966,0.1848472307667966,200.0,200.0,0.005,1.7913559524629363e-11,18.284020716145722,9,1.2091196099905943e-12,-2.7755575615628914e-16,-1.1057821325266559e-13,0.11872768424132274,0.7781478724164912,0.982882551140203,0.16552963117225378,3.58011398304825e-11,0.001414458267390728,ok,0.001,ok,ok,2.220446049250313e-13,0.0,4.440892098500626e-14
circle_vm2_direct_n200,6,2026191607,True,ok,0.006896063080432446,0.527848863998341,0.0075803267943952545,2.610580743213653,3.40271619956261,0.21489796483757867,0.23319595687253042,0.18243558999637272,0.2517767199719012,0.2517767199719012,200.0,200.0,0.005,1.926125925422184e-12,13.994298835370447,9,4.685054427744362e-14,-8.500145032286355e-17,-3.4638958368304884e-14,0.07392224447966278,0.7629530453747009,1.0357600008587098,0.18033258583540615,3.6142200343647346e-12,0.0013790421653538942,ok,0.001,ok,ok,4.440892098500626e-14,0.0,8.881784197001252e-14
circle_vm2_direct_n200,7,2026191608,True,ok,6.39253125345185e-06,0.6045291808917228,0.00026436863199230556,0.002561145980287574,0.0023386324028481344,0.9987849320503881,0.9987829690589733,0.9988313671823755,0.9987223106902344,0.9987223106902344,200.0,200.0,0.005,1.4782930435330854e-10,12.200394238319348,7,-1.2500472060806276e-12,3.220080452281948e-16,1.2878587085651816e-13,-2.0667394534171213e-06,0.984352558569721,1.1233750886574436,0.2074996110264676,3.120543823342814e-10,0.0011055010836571455,ok,0.001,ok,ok,8.881784197001252e-14,0.0,2.6645352591003757e-13
circle_vm2_direct_n200,8,2026191609,True,ok,0.0011508693232840095,0.5993101116289101,0.003263679702776695,0.46524725663452554,0.5435701556355185,0.7882957159361974,0.7863134423733786,0.7620180180670535,0.7943954731994671,0.7943954731994671,200.0,200.0,0.005,7.41544603499733e-11,11.25627342902637,8,-5.349093997603083e-12,2.203098814490545e-16,8.815170815523743e-14,-0.002449763660460874,0.711206652026416,1.3020362582136726,0.14321819722326515,1.4810197512815648e-10,0.0012153328862041235,ok,0.001,ok,ok,0.0,0.0,0.0
circle_vm2_direct_n200,9,2026191610,True,ok,0.0017597655037999704,0.5605311522235421,0.004266680837887529,0.6865426058929059,0.7012042221468056,0.6916824498150742,0.6979994964663059,0.7042639169289804,0.7033131060530309,0.7033131060530309,200.0,200.0,0.005,1.0611733713972171e-11,12.513073477817715,9,-3.165870343657673e-17,9.69276742202041e-17,3.885780586188048e-14,0.008681797813541114,0.9118440823482551,0.9993178765946474,0.19973277521197438,2.087729988886622e-11,0.0013348751235753298,ok,0.001,ok,ok,2.220446049250313e-13,0.0,0.0
