cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation
circle_uniform_direct_n800,0,2026591601,True,ok,0.000882826213841492,0.000633258025909903,0.0014645167183043506,1.412202727686478,1.45407174878577,0.49308431192124574,0.4931630976022524,0.48333954799727863,0.4934859103001117,0.4934859103001117,800.0000000000005,800.0000000000005,0.00125,2.2311701097788017e-12,1.0934240516651208,5,2.168404344971009e-18,2.168404344971009e-18,4.218847493575595e-15,0.00015960722995500554,0.9708378761876487,1.0273764668284502,0.4851115449581675,1.2054506698389034e-13,0.0010020409245043993,ok,0.001,ok,ok,1.7381929229287607e-13,1.6653345369377348e-16,1.6653345369377348e-13
circle_uniform_direct_n800,1,2026591602,True,ok,4.3662338138916366e-05,0.0002553498895243966,0.00032675130302162316,0.06985897576802788,0.0714734662691334,0.9656524119694505,0.9656527816775815,0.9648942847417332,0.965673136046405,0.965673136046405,800.0000000000005,800.0000000000005,0.00125,1.9647478088913317e-13,1.0400466490114375,4,1.9527836379179542e-16,9.486769009248164e-20,1.3877787807814457e-16,3.826271191692543e-07,0.9658901682751525,1.0340223817500964,0.48282176492551904,3.1911322542765852e-15,0.0008025830611586571,ok,0.001,ok,ok,1.6566609195578508e-14,0.0,2.0903417885520525e-14
circle_uniform_direct_n800,2,2026591603,True,ok,0.001704879692803904,0.0007213829950367054,0.002057223399276478,2.726668117968581,2.750453660377061,0.25504665331414345,0.2551922265129857,0.2527822506556135,0.25566078947907867,0.2556607894790785,800.0000000000005,800.0000000000005,0.00125,2.922100061919508e-12,1.113598469347686,5,2.8189256484623115e-18,1.3010426069826053e-18,3.1086244689504383e-15,0.0005696952588332138,0.9766482522733887,1.0199802186758573,0.48797186799148123,2.029791265623082e-13,0.0009002091828733683,ok,0.001,ok,ok,4.624772786954168e-13,1.1102230246251565e-16,7.45931094670027e-15
circle_uniform_direct_n800,3,2026591604,True,ok,0.0006208681401254895,0.0003220759596169597,0.0012452519100541513,0.9932347540926597,0.9947296857680418,0.6083438407592856,0.6083907971116542,0.6081310710381695,0.6085388566759313,0.6085388566759311,800.0000000000005,800.0000000000005,0.00125,7.017716095736315e-11,1.0710703361211211,4,3.228501450555643e-13,-2.2768245622195593e-18,-3.219646771412954e-15,7.713505406198307e-05,0.9913635890233004,1.0073949572709138,0.4955221475140345,5.199779409131855e-13,0.0007660409901291132,ok,0.001,ok,ok,2.628973427842851e-13,2.220446049250313e-16,2.5413698923060224e-14
circle_uniform_direct_n800,4,2026591605,True,ok,0.0013777089951856397,0.0025194466944352028,0.001834455391402198,2.2035684398911592,2.2575531752520375,0.3316035564831241,0.33173074915311906,0.3234287011520321,0.33215046790746644,0.33215046790746616,800.0000000000005,800.0000000000005,0.00125,6.661338147750939e-16,1.155733612490744,6,-2.168404344971009e-18,-3.469446951953614e-18,-5.329070518200751e-15,0.00038297620293281653,0.9760866997864622,1.02115526505196,0.48681387992918285,7.37257477290143e-17,0.0010002919007092714,ok,0.001,ok,ok,5.204170427930421e-14,2.220446049250313e-16,6.106226635438361e-14
circle_uniform_direct_n800,5,2026591606,True,ok,0.0003418167772161209,0.0009027431269790828,0.0009139976687393114,0.5468557568685601,0.5597801604906139,0.7605857475604949,0.760605189543601,0.7558668215851774,0.7607477698130345,0.7607477698130343,800.0000000000005,800.0000000000005,0.00125,3.96389761292415e-11,1.086614741410645,4,1.9493647147872384e-12,8.131516293641283e-19,9.992007221626409e-16,2.5543338616818012e-05,0.9684308001958691,1.0308539193803976,0.4837782769845779,4.2278494073733075e-12,0.000775457825511694,ok,0.001,ok,ok,1.1102230246251565e-14,2.220446049250313e-16,3.590877595271991e-14
circle_uniform_direct_n800,6,2026591607,True,ok,0.0003266972226464498,0.00211918437383205,0.0009105088425970112,0.5226683520262765,0.5150232087733508,0.7699150884171431,0.7699332681155235,0.7729726563878438,0.7700053792520704,0.7700053792520702,800.0000000000005,800.0000000000005,0.00125,1.6384877482567006e-10,1.1200583522321665,4,2.0158657187095697e-12,0.0,-3.3306690738754696e-16,2.3602104021747117e-05,0.984160654703146,1.0151511776298596,0.491037475783402,1.509793678966531e-11,0.0007938749622553587,ok,0.001,ok,ok,6.203371150093062e-13,0.0,4.5102810375396984e-14
circle_uniform_direct_n800,7,2026591608,True,ok,0.002315134399469765,0.0015137974255738768,0.002424505693382266,3.702081338287662,3.653759452559973,0.15622862085619543,0.15639571390647633,0.1609148837297957,0.15690613485774008,0.15690613485773983,800.0000000000005,800.0000000000005,0.00125,4.189969898815704e-11,1.1496297437041412,5,-6.071532165918825e-18,6.5052130349130266e-18,1.0658141036401503e-14,0.0010668504319819583,0.9703470941486261,1.0250446462524525,0.4844390569768154,3.933194481914315e-12,0.0009119999594986439,ok,0.001,ok,ok,8.638922910364499e-14,1.6653345369377348e-16,2.8449465006019636e-14
circle_uniform_direct_n800,8,2026591609,True,ok,0.0011028218961799097,0.001744348723095869,0.0016787084440555797,1.7639849551547548,1.7300402901528082,0.4132183768094424,0.4133280496144073,0.42104307059705937,0.41384758838173774,0.41384758838173763,800.0000000000005,800.0000000000005,0.00125,7.1294879722128e-11,1.135073824108455,5,8.239936510889834e-18,8.673617379884035e-19,1.3322676295501878e-15,0.0002650393665508677,0.9536143948896351,1.0440859495949848,0.47597543996677594,6.932935996128986e-12,0.0009216668549925089,ok,0.001,ok,ok,3.622102617839573e-13,2.220446049250313e-16,6.664807594702893e-13
circle_uniform_direct_n800,9,2026591610,True,ok,0.0012061792098478905,0.0008879287935962858,0.0017178663499492653,1.9293009342809708,1.9749690640545816,0.3804362215127144,0.38054780517264497,0.37251255686451334,0.38100477623722145,0.3810047762372213,800.0000000000005,800.0000000000005,0.00125,7.722222167272363e-12,1.1097644629558383,5,-8.673617379884035e-19,2.3852447794681098e-18,4.440892098500626e-15,0.00029290073782750614,0.9627113787389427,1.0348717841237205,0.48092829126551645,4.658170550675411e-13,0.0009081251919269562,ok,0.001,ok,ok,4.111294638065033e-14,1.1102230246251565e-16,1.0408340855860843e-14
