cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation
circle_uniform_importance_n800,0,2026891601,True,ok,0.0006966985794052138,0.004157113030883185,0.0017886401070256806,1.114462806948754,0.6073766838082972,0.7499708790848836,0.7500202162701453,0.738090862601452,0.5727196989612864,0.7534812245481779,406.2749476553604,800.0,0.005780871441005282,5.134781488891349e-16,1.1785683197971708,6,-8.998878031629687e-18,-1.951563910473908e-18,,0.00012746004979402592,1.8328741732065144,2.0464658407375502,0.9126267353034542,6.071532165918825e-17,0.001157000893726945,ok,0.001,ok,ok,3.608224830031759e-14,0.0,1.2490009027033011e-14
circle_uniform_importance_n800,1,2026891602,True,ok,0.001005258498156054,0.002178654791415769,0.002098969008901434,1.6080599086544698,0.9192122313375103,0.6528082978533267,0.6528694829873316,0.6315323472201011,0.4474426980462607,0.6595875708277936,413.9637045963442,800.0,0.005630874668515511,1.5967288602425356e-10,1.1345327705336883,5,-1.3010426069826053e-18,8.673617379884035e-19,,0.0001768441976082169,1.7451596118786354,2.03503858633543,0.8706785998773854,1.6864434328189848e-11,0.0008894582279026508,ok,0.001,ok,ok,1.6306400674181987e-13,0.0,6.591949208711867e-14
circle_uniform_importance_n800,2,2026891603,True,ok,0.00011992207235160014,0.0030103616942897676,0.0007477140066146532,0.19187191904957954,0.10291975967566158,0.9496493830119646,0.9496502515259317,0.9498417570030901,0.9085206534056761,0.9515229051931186,414.3650859363468,800.0,0.0055208210581538944,2.122268853710363e-11,1.1266537191479786,5,-3.471155112476365e-13,-4.87890977618477e-19,,1.698356490345554e-06,1.8291564655767143,1.8852766793851252,0.9118247043448302,1.6984851025636516e-13,0.0008875010535120964,ok,0.001,ok,ok,1.6792123247455493e-13,0.0,2.983724378680108e-14
circle_uniform_importance_n800,3,2026891604,True,ok,0.004483752994794025,0.0011830510257856272,0.004568865041734927,7.1656830140159435,3.8694994935041764,0.15907917979573355,0.15941836095370937,0.14446041598867648,0.02768118341165804,0.15279414080638898,418.99358654995507,800.0,0.005894526123073664,1.5108990447654236e-11,1.1830772355473103,5,7.979727989493313e-17,2.6020852139652106e-18,,0.004160888827247966,1.8510694991867949,2.05175294330898,0.9244397651319324,1.4676281023806581e-12,0.0008958340622484684,ok,0.001,ok,ok,2.643718577388654e-13,0.0,1.5265566588595902e-14
circle_uniform_importance_n800,4,2026891605,True,ok,0.0037768067283808753,0.006825308851266707,0.0044100936743856674,6.0371313663084365,2.954087824214384,0.21125255265930004,0.21156541105797688,0.228311600980078,0.048730732876546126,0.20375943014784392,421.20642103387945,800.0,0.005833894204913842,1.9290125052862095e-15,1.2704697949168466,6,9.80118763926896e-17,-7.806255641895632e-18,,0.002879699550482062,1.83271180407729,2.0555582451930516,0.9100999189582174,3.677613769070831e-16,0.0009930001106113195,ok,0.001,ok,ok,1.1796119636642288e-13,0.0,1.0547118733938987e-13
circle_uniform_importance_n800,5,2026891606,True,ok,0.003703849958988997,0.002471813402315619,0.0042318854110681425,5.920225865862397,3.0798430058057504,0.22362643278550376,0.22396194239191636,0.2143979303816218,0.05165956213806246,0.20752337645141805,424.56128230658993,800.0,0.005974987469210091,6.661338147750939e-16,1.2039487198927938,6,5.074066167232161e-17,0.0,,0.002967034259999224,1.9144974463422788,2.0426569598918194,0.9548823450939667,1.2836953722228372e-16,0.0010064169764518738,ok,0.001,ok,ok,6.120104423246175e-13,0.0,1.0685896612017132e-13
circle_uniform_importance_n800,6,2026891607,True,ok,0.0036380374508757918,0.0010822769069836827,0.004345053786475929,5.815396363169922,2.816105501236572,0.22602786605345349,0.22634318356952188,0.2446191541800219,0.05445231248084689,0.21668592535794737,420.3657447438074,800.0,0.005865093063069342,1.110578989882427e-11,1.166158766512312,5,1.3444106938820255e-17,-8.239936510889834e-18,,0.0027317791156722393,1.8443241258558472,2.0716086008690002,0.92116403017497,1.0279789172673581e-12,0.0008820421062409878,ok,0.001,ok,ok,5.044575868140555e-13,0.0,6.140921104957897e-14
circle_uniform_importance_n800,7,2026891608,True,ok,0.001885982746840922,0.0013653870496870175,0.0029720767522129175,3.0162343650736125,1.6168119708685942,0.4522816289197894,0.4524406964520191,0.44556774192660853,0.2211782818499516,0.4514753490667912,421.65523879068814,800.0,0.005700196516549877,3.486177319045325e-11,1.1333570685280945,5,-1.3444106938820255e-17,2.168404344971009e-18,,0.0006690149359314113,1.804500966428088,2.001683882935812,0.9010185578437954,2.6035011820024767e-12,0.0008744590450078249,ok,0.001,ok,ok,5.14518982974721e-13,0.0,6.349087922075114e-14
circle_uniform_importance_n800,8,2026891609,True,ok,0.0012307596505382336,0.0009058193371147901,0.0023621615555057232,1.9686142904609494,1.0869819516923007,0.5911100767594855,0.5912049313485346,0.5807174391230143,0.37358574825258595,0.5963541163145925,420.001283955486,800.0,0.00559808827230502,6.459759810395482e-12,1.1100564147975527,5,7.37257477290143e-18,2.168404344971009e-19,,0.0003005752001121742,1.7895347389670426,1.9587977725382708,0.8939568847225591,5.045143990078937e-13,0.0008847510907799006,ok,0.001,ok,ok,3.363628819919029e-13,0.0,4.163336342344337e-15
circle_uniform_importance_n800,9,2026891610,True,ok,0.0009505645197244008,0.0026741005079155998,0.002075052164560418,1.520581090743374,0.8400422935795822,0.6864353626761763,0.6864900044260327,0.6570329255309855,0.4674552691566177,0.6745302470117008,414.2157134675488,800.0,0.006013896281712893,3.122502256758253e-16,1.1453551863299252,6,0.0,0.0,,0.0001610704078335301,1.8064558371157815,2.2561484868028945,0.9008125803993267,1.9081958235744878e-17,0.0009932508692145348,ok,0.001,ok,ok,1.0408340855860843e-14,0.0,2.0816681711721685e-14
