beta,query_order,query_id,query_label,status,I1,I2,test_gain,raw_second_norm,residual_second_norm,model_score,sandwich_wald,fit_ess,test_ess,mean_length,max_moment_error,grid_gap_change,grid_test_gain_change,min_schur_eigenvalue,min_omega_eigenvalue,full_condition,iterations,elapsed_seconds
6,0,485,1,ok,0.3015873159085851,0.13314276826316762,0.24533457171661793,0.2510909634560161,0.1633603915943995,166.22378260994586,71.28481592326116,72.53637675095999,36.32442273151307,0.43458529127959966,5.511535672297896e-12,3.552713678800501e-15,3.58046925441613e-15,0.09338940769778516,0.00014139041239625864,6.6082288792144315,9,0.004266957985237241
6,1,1579,0,ok,1.538646025113696,0.3248904999821116,0.18140400208454144,0.5818354586025247,0.10732162743601863,1405.6407728128042,163.30693843427213,67.3575182853366,68.71388789566701,0.8420529890513035,1.147404393719853e-11,5.329070518200751e-15,5.3013149425851225e-15,0.003678933437559463,2.3607149657357846e-05,55.90555636956947,14,0.004304167116060853
6,2,837,7,ok,1.2167066787739431,0.19043427694119153,0.14454304188580194,0.4888291850375215,0.10834357277230515,484.4209996577289,160.13939272637535,46.63761348134658,45.88444261701188,0.7820425797760245,6.423750420481156e-13,8.881784197001252e-16,9.159339953157541e-16,0.011927058453726321,4.529489325031041e-05,25.75477881847091,12,0.004404542036354542
6,3,1200,7,ok,0.9943421499905023,0.16660950657864104,0.15110731636924532,0.43584627108925905,0.11992301913448292,318.29041330141746,197.1891429794209,29.207869101517648,43.98620189186675,0.7276141517045241,2.541411525669446e-12,8.881784197001252e-16,8.604228440844963e-16,0.02361916427469587,6.322710105154643e-05,14.03147067411658,12,0.0039749168790876865
6,4,1099,0,ok,1.6598686642207028,0.3329739644421865,0.2282111425180702,0.6092583966115533,0.09698700788589701,2018.246427776189,120.43045198279569,59.35460552127135,58.0069054884862,0.8600850952171998,6.417089082333405e-14,4.440892098500626e-15,4.440892098500626e-15,0.00228815064250056,2.5631780097952475e-05,50.261982673938995,15,0.00434116693213582
6,5,675,9,ok,0.9981461026786413,0.300623692046865,0.11651010218477145,0.48419437390307374,0.16962744989303244,669.8857204329308,241.4715025664436,27.724230472575602,24.66463550723866,0.7286533532724467,1.7763568394002505e-15,0.0,0.0,0.02337007925750233,6.972396818349432e-05,14.698336606401105,12,0.004318250110372901
6,6,619,3,ok,0.8382764322460572,0.1077230246028531,0.048622428090746135,0.3731095971943542,0.1055652787918509,171.11231071174603,111.80802256882095,80.83811676813306,67.73035495579073,0.6811919985969922,9.81464909344254e-11,0.0,0.0,0.03531363558469144,9.498332331318998e-05,11.235573215452908,10,0.003674041945487261
6,7,163,5,ok,0.9957419288169427,0.16283528300849337,0.26373957882034793,0.44458796855729066,0.11771030540737595,343.4209911472952,83.00817581742095,41.54266449956901,26.860825267855112,0.7279970338886781,8.229394943271018e-11,0.0,0.0,0.023527304028789553,0.00010025840488406172,10.369565085965698,12,0.0037699590902775526
6,8,1229,0,ok,0.6987775048575275,0.3142227810351934,0.17322821479095676,0.41110597286948897,0.2007654479105784,464.2185271859782,297.0227340122798,81.97121620082675,52.55718900562491,0.6324778989672539,1.0805800698676649e-12,7.105427357601002e-15,7.077671781985373e-15,0.0480599600049574,7.357124491850304e-05,19.449890310827506,11,0.004085958003997803
6,9,492,6,ok,0.32377418397484936,0.08050363772561964,0.0857236442381005,0.16154648231988797,0.12788534703195914,91.67335420964147,48.996863782239146,152.94801433764275,117.25130725412446,0.4492107165071874,6.368275351498198e-11,8.881784197001252e-16,8.881784197001252e-16,0.09059305489045598,0.00019767209892266653,9.47140821069427,8,0.0033097080886363983
6,10,1135,7,ok,0.9871516397713314,0.22665524831377049,0.2131139447024013,0.44204438206330665,0.14250320035934302,407.2927724899116,448.4628748412565,69.3984672297823,38.16451966473854,0.72563853830296,1.887379141862766e-15,1.3322676295501878e-15,1.3322676295501878e-15,0.024094745148644646,3.207912507381405e-05,23.709809668041572,13,0.0038975412026047707
6,11,78,0,ok,1.1987899610343646,0.3067685835969356,0.2743774364971627,0.5155725933171578,0.138669200912397,770.6668930007153,266.33831186862307,72.35372243869885,54.048399544979745,0.7780982024231465,3.6293190674996367e-13,4.440892098500626e-15,4.385380947269368e-15,0.012660319177539625,4.341346192763677e-05,36.26479284252984,13,0.004425999941304326
6,12,513,8,ok,0.24413565355970757,0.019581264578583113,0.04123669110475022,0.1340911455541994,0.06428167781880653,23.731772932731598,9.013152570531426,137.2886989335316,112.91692471922686,0.39341382920933454,2.727262859991697e-13,1.7763568394002505e-15,1.7694179454963432e-15,0.10073714010508147,0.00033723593997002566,4.327032161972954,8,0.00328362500295043
6,13,1698,9,ok,1.0801716740667064,0.14597268970181254,0.17811548751068323,0.4460040426668286,0.10208281371116591,290.313171431398,107.17186644695965,78.45162293767896,59.18944588146995,0.750097982879784,9.048317650695026e-15,4.884981308350689e-15,4.9404924595819466e-15,0.018421035979319544,7.253864699027016e-05,18.78843520131406,13,0.0039517919067293406
6,14,157,7,ok,0.8187663683426951,0.1371861892747912,0.13943875814520384,0.3832361730683883,0.12396800017635466,226.5263826441859,87.0350874713432,42.502195307530855,55.61054421820613,0.6748248445519953,5.462819085977344e-11,1.7763568394002505e-15,1.7763568394002505e-15,0.03697225616285735,9.335035185109297e-05,10.285774671278544,10,0.003853750182315707
6,15,592,8,ok,0.22512380462554338,0.06621124319189764,0.0962270066405338,0.17778191982978922,0.12123750164991082,81.74753809075409,24.76488621802503,47.39856219580182,41.010237234105375,0.378545922521708,3.199202014414482e-11,2.6645352591003757e-15,2.6645352591003757e-15,0.10320028539263111,0.00020033600610258669,5.185501935059036,8,0.00328783318400383
6,16,197,6,ok,1.5819081446237657,0.30019007448360835,0.2015098561999074,0.5987285439113368,0.10001072443965751,1816.7987763481242,136.92318850511177,54.154480604828294,39.647347499363526,0.8487406179667439,3.5416114485542494e-14,8.881784197001252e-16,8.881784197001252e-16,0.0031088003498579153,1.9558005055283596e-05,26.072713543739944,14,0.004422666970640421
6,17,1078,0,ok,0.5034278870095239,0.14336417455603367,0.1459452836021982,0.23720983891979416,0.140655420092005,145.90432377893998,205.8694962243834,144.92545521758657,84.37527678364746,0.5491212810895795,6.39306940719564e-11,2.6645352591003757e-15,2.6922908347160046e-15,0.06896093626030782,9.023848812102953e-05,21.588074191022866,10,0.003831084119156003
6,18,907,2,ok,1.3212636228952332,0.1415680582890242,0.17596301898437988,0.5036496580957749,0.08051841897661083,411.713109502729,232.5062254590288,70.96276311835688,48.26785935251345,0.8036936352762342,1.5754286764035896e-11,4.440892098500626e-16,3.885780586188048e-16,0.008301273175020643,2.2045885940281853e-05,20.05957855798541,12,0.004267500014975667
6,19,468,6,ok,1.496850359062167,0.2806815157423417,0.14963762061512093,0.578731507258972,0.10399222823464414,1383.764100162478,153.81607042607786,54.13382098298495,48.53686589788491,0.8353112346334527,1.7505108473869768e-11,4.440892098500626e-16,4.440892098500626e-16,0.004322197975088832,2.8206959994512494e-05,24.324074702446886,13,0.003968958975747228
6,20,1766,1,ok,0.9975224604674451,0.16549671262494225,0.09167824404645641,0.4401997639069355,0.11853591531344314,327.985052535336,145.06191606609093,56.98409552202833,57.78994643334288,0.7284832612439966,1.688027495561073e-11,1.021405182655144e-14,1.021405182655144e-14,0.023410796700055556,8.976730000694196e-05,12.704083976180378,12,0.00423879106529057
6,21,482,8,ok,0.2927910037649951,0.06995310828674117,0.025808418890486084,0.20981684821732766,0.11933274935483859,88.09760155034162,41.52473094165466,163.81134932677028,205.77843169683283,0.4286056638091497,3.8389846857000975e-12,8.881784197001252e-16,8.881784197001252e-16,0.09450463634994893,0.000269950617204838,4.801899125663396,9,0.003539332887157798
6,22,251,9,ok,0.8438794815466357,0.12724910438268733,0.11262016645229375,0.3840458138489757,0.11447472634248541,203.10890020233222,122.69338766411951,105.4942412642625,83.87356642209987,0.6829957381362184,1.3805889764739732e-10,4.440892098500626e-15,4.454769886308441e-15,0.034845110574973956,9.213228284392592e-05,11.478268620233855,10,0.0034487079828977585
6,23,366,4,ok,1.1923918108796197,0.19659579362356583,0.22702764111332194,0.4858480347328661,0.1101694122990325,446.9512324240059,243.9926306203457,46.381544966040416,58.79961825301544,0.7766722633756187,2.8377300509419e-13,4.440892098500626e-16,4.440892098500626e-16,0.01293056793483125,3.537048561965351e-05,23.29580417360569,12,0.004122874932363629
6,24,524,8,ok,0.5537570270170453,0.07450770602239443,0.02386201932164063,0.27879608192221544,0.10848994583229606,105.52408463128445,29.59683327573246,61.912036459619536,114.5676450150523,0.5726281740360402,5.093597765792879e-11,0.0,0.0,0.06327977035262762,0.00014144590128597868,6.814913913135415,10,0.0036954579409211874
6,25,1730,3,ok,0.7326024284798147,0.032765982562399376,0.03245967958295904,0.2675020862098094,0.06858907770599659,38.265670006342035,33.6123460550034,101.83401109945999,104.11880477877516,0.645003048437873,5.006106640337293e-12,0.0,0.0,0.04478561110609802,0.00010768274419623808,14.410334366453144,9,0.003226333064958453
6,26,44,7,ok,1.19979849904428,0.19669134594851512,0.21577911715803608,0.4965879462583008,0.10915798026458427,517.8590383700412,159.97977169319455,48.694758697853416,47.69293304420911,0.7783221329539839,3.991251773527438e-13,8.881784197001252e-16,8.604228440844963e-16,0.012618125780017454,6.364912036392606e-05,17.788841483655283,12,0.0036035829689353704
